,Geographic Area,City,Median Income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic
298,AL,Luverne,29844.0,20.3,77.9,62.6,29.6,0.3,5.5,1.9
299,AL,Lynn,33452.0,27.9,74.8,98.0,0.0,0.3,0.0,0.9
300,AL,McDonald Chapel,15588.0,62.6,60.3,55.8,39.3,0.0,0.6,2.8
301,AL,McIntosh,48625.0,13.7,95.8,37.0,55.5,4.2,0.4,2.9
302,AL,McKenzie,31500.0,22.5,75.5,67.7,29.8,0.4,0.0,0.4
303,AL,Madison,92960.0,6.7,95.7,74.0,14.6,0.5,7.0,4.3
304,AL,Madrid,38750.0,14.9,70.6,88.9,8.6,0.6,0.9,3.1
305,AL,Magnolia Springs,47614.0,5.3,89.1,96.3,0.1,0.6,0.4,2.8
306,AL,Malvern,37000.0,19.8,74.0,91.2,4.8,0.7,0.1,4.8
307,AL,Maplesville,32788.0,29.1,77.3,68.9,28.5,0.1,0.0,1.1
308,AL,Marbury,37672.0,9.9,83.8,92.2,3.8,0.1,0.0,3.8
309,AL,Margaret,64789.0,10.1,92.5,77.3,19.3,0.3,0.8,1.6
310,AL,Marion,31029.0,33.0,81.4,34.3,64.1,0.2,0.6,1.9
311,AL,Maytown,43750.0,9.2,88.4,89.4,9.6,0.3,0.0,0.0
